Screen Name;Text
Kishidancho2;RT @AP_Politics: BREAKING: Donald Trump wins North Carolina. #APracecall at 3:48 p.m. EST. #Election2020 https://t.co/lGfinjTqT4
PredsNC12;RT @AP_Politics: BREAKING: Joe Biden wins Arizona. #APracecall at 12:51 a.m. MST. #Election2020 https://t.co/lGfinjTqT4
pulliamore;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
CovidKhan;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
JoeLuca26181135;RT @AP_Politics: BREAKING: Donald Trump wins North Carolina. #APracecall at 3:48 p.m. EST. #Election2020 https://t.co/lGfinjTqT4
BobDMob;RT @Al_Drago: Attorney General Bill Barr arrives for an unannounced meeting with Senate Majority Leader Mitch McConnell on Monday afternoon…
redevilone;RT @BryanRAnderson: #BREAKING: President Donald Trump wins North Carolina
Kishidancho2;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
BerthelsenArlen;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
bryanhauer;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
PrincessBibiRF_;@realDonaldTrump The #MAGA meltdown is delicious. #Election2020 https://t.co/C53vgRdOg5
RichShepard3;It’s almost 6:30 pm and not one person has wished me a Happy Birthday today.  #Kony2012 #Election2020 #WhatColorIsTheDress #FYP
lmirone777;@Bailey1050 @MacCutchins @LouDobbs @RudyGiuliani @jsolomonReports @RepAndyBiggsAZ @JennaEllisEsq This is YOUR prez.… https://t.co/GmkQWPGSXy
Kishidancho2;RT @djchrisallen: Sock puppets are more well-spoken than the current administration. Says a lot. 😂 #Election2020 #ChooseDemocracy
DaveChe04190672;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
Hotrod4772;Such a super sweet win for ⁦@JoeBiden to take Georgia⁩ !!! Our President-elect makes me so proud! #Election2020… https://t.co/Q4xbIDfei0
Kishidancho2;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
VanJones68;RT @AP_Politics: BREAKING: Donald Trump wins North Carolina. #APracecall at 3:48 p.m. EST. #Election2020 https://t.co/lGfinjTqT4
AnneSuzel911;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
gemdb1;RT @Reuters: Election security officials have no evidence that ballots were deleted or lost by voting systems in this month’s #Election2020…
mil2sell;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
NakariStorm;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
Spdbmp93;"RT @dominionvoting: We are committed to upholding the accuracy &amp; security of U.S. elections. Read why top election security officials overs…"
romekreza;RT @OurRevolution: Congratulations to @Eric4LakeCounty for being elected as Lake County
MB9v10proverbs;RT @BBCWorld: Donald Trump makes reference to #Election2020 result while speaking publicly for first time since Joe Biden's projected win…
yramsalkin;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
MelBel_36;"RT @CCLSVN: #ClimateFriday Reading:  ""It is well established that high-carbon interests such as large oil firms exert excess influence over…"
dakp2017;RT @Michael03272961: #ICYMI: Top Election Chief of #Milwaukee
ae4ca;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
racheal_steven;This is the absolute best 🤣 @JoeBiden @BarackObama #Election2020 #BidenHarris2020 https://t.co/O2jQApf3N5
sorrowen;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
charleecapewell;RT @BarkyMalarkey1: Yeah...
HeathFerris;The 2020 election ‘was the most secure in American history
DaveChe04190672;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
toracha7;"RT @SenTedCruz: The Mainstream Media’s demands that Trump concede &amp; ignore the legal process is utterly inconsistent with the Constitution.…"
thedager7;The ultimate conspiracy... millions of citizens rejecting a buffoon #Election2020 #DecencyWins  https://t.co/SKyCl0UL6U
All_4_Free_Iran;RT @solidreturns: #Elections2020                #Election2020                @realDonaldTrump #Trump #ElectionNight   #Election2020results…
AleceaMaria;@KellyannePolls I couldn’t agree with your more
Brandon38767560;RT @BryanRAnderson: #BREAKING: President Donald Trump wins North Carolina
thinkblackink;RT @SCVIndy: @ProjectLincoln In US #democracy #vote determine who’s elected not sitting president whims/beliefs
SalomnM;RT @Rizzuti09: Mood all day long. WE DID IT. WE BEAT A SITTING PRESIDENT. OMG  #306 #Election2020 #ElectionResults2020 #JoeBiden #46 #Presi…
ann79777158;RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…
